ស្ដុក	ស・្・ដ・ុ・ក
ព្រះគ្រិស្ដជាអម្ចាស់	ព・្・រ・ះ・គ・្・រ・ិ・ស・្・ដ・ជ・ា・អ・ម・្・ច・ា・ស・់
ទ្រឹស្ដិ	ទ・្・រ・ឹ・ស・្・ដ・ិ
រាស្ដ្រ	រ・ា・ស・្・ដ・្・រ
អូគូស្ដ	អ・ូ・គ・ូ・ស・្・ដ
ស្ដាយស្រណោះ	ស・្・ដ・ា・យ・ស・្・រ・ណ・ោ・ះ
ព្រះហស្ដា	ព・្・រ・ះ・ហ・ស・្・ដ・ា
ស្ដីការ	ស・្・ដ・ី・ក・ា・រ
ស្ដីបន្ទោស	ស・្・ដ・ី・ប・ន・្・ទ・ោ・ស
ស្ដើង	ស・្・ដ・ើ・ង
ព្រះយេស៊ូគ្រិស្ដ	ព・្・រ・ះ・យ・េ・ស・៊・ូ・គ・្・រ・ិ・ស・្・ដ
ស្ដាប់វិទ្យុ	ស・្・ដ・ា・ប・់・វ・ិ・ទ・្・យ・ុ
ស្ដាប់ឮ	ស・្・ដ・ា・ប・់・ឮ
អើរិស្ដូប៊ូល	អ・ើ・រ・ិ・ស・្・ដ・ូ・ប・៊・ូ・ល
ស្ដួចស្តើង	ស・្・ដ・ួ・ច・ស・្・ត・ើ・ង
យេស៊ូគ្រិស្ដ	យ・េ・ស・៊・ូ・គ・្・រ・ិ・ស・្・ដ
បត់ស្ដាំ	ប・ត・់・ស・្・ដ・ា・ំ
ស្តុកស្ដម្ភ	ស・្・ត・ុ・ក・ស・្・ដ・ម・្・ភ
ស្ដាយ	ស・្・ដ・ា・យ
ស្ដូកស្ដឹង	ស・្・ដ・ូ・ក・ស・្・ដ・ឹ・ង
ស្ដូកស្ដឹង	ស・្・ដ・ូ・ក・ស・្・ដ・ឹ・ង
ស្ដីប្រដៅ	ស・្・ដ・ី・ប・្・រ・ដ・ៅ
អើរីស្ដាក	អ・ើ・រ・ី・ស・្・ដ・ា・ក
ស្ដេចត្រាញ់	ស・្・ដ・េ・ច・ត・្・រ・ា・ញ・់
ហស្ដ	ហ・ស・្・ដ
ភ័ស្ដុ	ភ・័・ស・្・ដ・ុ
ព្រះយេស៊ូគ្រិស្ដ*	ព・្・រ・ះ・យ・េ・ស・៊・ូ・គ・្・រ・ិ・ស・្・ដ・*
ខាងស្ដាំ	ខ・ា・ង・ស・្・ដ・ា・ំ
ព្រះគ្រិស្ដយេស៊ូ	ព・្・រ・ះ・គ・្・រ・ិ・ស・្・ដ・យ・េ・ស・៊・ូ
