ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
វិបត្តិសេដ្ឋកិច្ច	វ・ិ・ប・ត・្・ត・ិ・ស・េ・ដ・្・ឋ・ក・ិ・ច・្・ច
សមមិត្ត	ស・ម・ម・ិ・ត・្・ត
ការប្រតិបត្តិ	ក・ា・រ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
បំបាក់ទឹកចិត្ត	ប・ំ・ប・ា・ក・់・ទ・ឹ・ក・ច・ិ・ត・្・ត
កម្លាំងចិត្ត	ក・ម・្・ល・ា・ំ・ង・ច・ិ・ត・្・ត
ជក់ចិត្ត	ជ・ក・់・ច・ិ・ត・្・ត
កត្តិក	ក・ត・្・ត・ិ・ក
អស់ពីដួងចិត្ត	អ・ស・់・ព・ី・ដ・ួ・ង・ច・ិ・ត・្・ត
បញ្ញត្តិ	ប・ញ・្・ញ・ត・្・ត・ិ
អាក់អន់ចិត្ត	អ・ា・ក・់・អ・ន・់・ច・ិ・ត・្・ត
ក្តីមេត្តា	ក・្・ត・ី・ម・េ・ត・្・ត・ា
វត្តថ្មី	វ・ត・្・ត・ថ・្・ម・ី
ទំនុកចិត្ត	ទ・ំ・ន・ុ・ក・ច・ិ・ត・្・ត
ចិត្តអន្យតិរ្ថិយ	ច・ិ・ត・្・ត・អ・ន・្・យ・ត・ិ・រ・្・ថ・ិ・យ
ចិត្តទូលាយ	ច・ិ・ត・្・ត・ទ・ូ・ល・ា・យ
ការសំរេចចិត្ត	ក・ា・រ・ស・ំ・រ・េ・ច・ច・ិ・ត・្・ត
ជំរុញចិត្ត	ជ・ំ・រ・ុ・ញ・ច・ិ・ត・្・ត
អនុវត្តិ	អ・ន・ុ・វ・ត・្・ត・ិ
លោកប្រវត្តិ	ល・ោ・ក・ប・្・រ・វ・ត・្・ត・ិ
ពាន់វត្ត	ព・ា・ន・់・វ・ត・្・ត
សេចក្តីទុកចិត្ត	ស・េ・ច・ក・្・ត・ី・ទ・ុ・ក・ច・ិ・ត・្・ត
ចិត្តលុះ	ច・ិ・ត・្・ត・ល・ុ・ះ
ខត្ត	ខ・ត・្・ត
