ព្រះកិត្តិនាម	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・ន・ា・ម
ឧត្តរកុរុទ្វីប	ឧ・ត・្・ត・រ・ក・ុ・រ・ុ・ទ・្・វ・ី・ប
ព្រះកិត្តិយស	ព・្・រ・ះ・ក・ិ・ត・្・ត・ិ・យ・ស
ចាប់ចិត្ត	ច・ា・ប・់・ច・ិ・ត・្・ត
ពោធិមិត្ត	ព・ោ・ធ・ិ・ម・ិ・ត・្・ត
ចិត្តរំភើប	ច・ិ・ត・្・ត・រ・ំ・ភ・ើ・ប
មិត្តភ័ក្តិ	ម・ិ・ត・្・ត・ភ・័・ក・្・ត・ិ
ចូលនិវត្តន៍	ច・ូ・ល・ន・ិ・វ・ត・្・ត・ន・៍
វេទនាចិត្ត	វ・េ・ទ・ន・ា・ច・ិ・ត・្・ត
អូរត្រជាក់ចិត្ត	អ・ូ・រ・ត・្・រ・ជ・ា・ក・់・ច・ិ・ត・្・ត
ចិត្តស្នេហា	ច・ិ・ត・្・ត・ស・្・ន・េ・ហ・ា
ឧត្តរិភង្គ	ឧ・ត・្・ត・រ・ិ・ភ・ង・្・គ
ផ្លូវចិត្ត	ផ・្・ល・ូ・វ・ច・ិ・ត・្・ត
ឥត្ថីធុត្តៈ	ឥ・ត・្・ថ・ី・ធ・ុ・ត・្・ត・ៈ
និវត្តជន	ន・ិ・វ・ត・្・ត・ជ・ន
វត្តរកា	វ・ត・្・ត・រ・ក・ា
អស់ពីចិត្ត	អ・ស・់・ព・ី・ច・ិ・ត・្・ត
បាក់ចិត្ត	ប・ា・ក・់・ច・ិ・ត・្・ត
ស្តុកសម្បត្តិ	ស・្・ត・ុ・ក・ស・ម・្・ប・ត・្・ត・ិ
រាជ្យសម្បត្តិ	រ・ា・ជ・្・យ・ស・ម・្・ប・ត・្・ត・ិ
រត្តិចរ	រ・ត・្・ត・ិ・ច・រ
វត្តរំដួល	វ・ត・្・ត・រ・ំ・ដ・ួ・ល
កាលានុវត្ត	ក・ា・ល・ា・ន・ុ・វ・ត・្・ត
ជឿទុកចិត្ត	ជ・ឿ・ទ・ុ・ក・ច・ិ・ត・្・ត
ថ្នាក់ឧត្តម	ថ・្・ន・ា・ក・់・ឧ・ត・្・ត・ម
មិត្តភក្ដិ	ម・ិ・ត・្・ត・ភ・ក・្・ដ・ិ
សុត្ត	ស・ុ・ត・្・ត
ប្រវត្តិសាស្ត្រ	ប・្・រ・វ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
វត្តសំប៉ាន	វ・ត・្・ត・ស・ំ・ប・៉・ា・ន
វត្តគរ	វ・ត・្・ត・គ・រ
ឯអត្តចរិត	ឯ・អ・ត・្・ត・ច・រ・ិ・ត
ជឿចិត្ត	ជ・ឿ・ច・ិ・ត・្・ត
ចិត្តអំណត់	ច・ិ・ត・្・ត・អ・ំ・ណ・ត・់
ប្ដេជ្ញាចិត្ត	ប・្・ដ・េ・ជ・្・ញ・ា・ច・ិ・ត・្・ត
សាលាខេត្ត	ស・ា・ល・ា・ខ・េ・ត・្・ត
ទឹកចិត្ត	ទ・ឹ・ក・ច・ិ・ត・្・ត
មិនសុខចិត្ត	ម・ិ・ន・ស・ុ・ខ・ច・ិ・ត・្・ត
ព្រឹត្តិប័ត្រ	ព・្・រ・ឹ・ត・្・ត・ិ・ប・័・ត・្・រ
ទិនានុប្បវត្តិ	ទ・ិ・ន・ា・ន・ុ・ប・្・ប・វ・ត・្・ត・ិ
ចិត្តបាន	ច・ិ・ត・្・ត・ប・ា・ន
បង់ចិត្ត	ប・ង・់・ច・ិ・ត・្・ត
ខិត្តប័ណ្ណ	ខ・ិ・ត・្・ត・ប・័・ណ・្・ណ
បុត្ត	ប・ុ・ត・្・ត
វរោត្តម	វ・រ・ោ・ត・្・ត・ម
អត្តសញ្ញាណប័ណ្ណ	អ・ត・្・ត・ស・ញ・្・ញ・ា・ណ・ប・័・ណ・្・ណ
ចិត្តជ្រះថ្លា	ច・ិ・ត・្・ត・ជ・្・រ・ះ・ថ・្・ល・ា
សង្កត់ចិត្ត	ស・ង・្・ក・ត・់・ច・ិ・ត・្・ត
វត្តឯកលីផល	វ・ត・្・ត・ឯ・ក・ល・ី・ផ・ល
ប្រព្រឹត្ត	ប・្・រ・ព・្・រ・ឹ・ត・្・ត
សម្បត្តិ​	ស・ម・្・ប・ត・្・ត・ិ・​
សូមលោកមេត្តា	ស・ូ・ម・ល・ោ・ក・ម・េ・ត・្・ត・ា
ចងចិត្ត	ច・ង・ច・ិ・ត・្・ត
វត្តចែង	វ・ត・្・ត・ច・ែ・ង
មេវត្ត	ម・េ・វ・ត・្・ត
រាជសម្បត្តិ	រ・ា・ជ・ស・ម・្・ប・ត・្・ត・ិ
ចិត្តវិបរិត	ច・ិ・ត・្・ត・វ・ិ・ប・រ・ិ・ត
នគរវត្ត	ន・គ・រ・វ・ត・្・ត
ចិត្តនឹង	ច・ិ・ត・្・ត・ន・ឹ・ង
ក្នុងចិត្ត	ក・្・ន・ុ・ង・ច・ិ・ត・្・ត
ប្រព្រឹត្តិតាម	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ត・ា・ម
ចូលចិត្ត	ច・ូ・ល・ច・ិ・ត・្・ត
សំយុត្តនិកាយ	ស・ំ・យ・ុ・ត・្・ត・ន・ិ・ក・ា・យ
គុណវិបត្តិ	គ・ុ・ណ・វ・ិ・ប・ត・្・ត・ិ
អមិត្តភាព	អ・ម・ិ・ត・្・ត・ភ・ា・ព
ប្រព្រឹត្តអំពើបាប	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・អ・ំ・ព・ើ・ប・ា・ប
បដិបត្តិ	ប・ដ・ិ・ប・ត・្・ត・ិ
ខ្លោចចិត្ត	ខ・្・ល・ោ・ច・ច・ិ・ត・្・ត
វត្តក្តី	វ・ត・្・ត・ក・្・ត・ី
គិតក្នុងចិត្ត	គ・ិ・ត・ក・្・ន・ុ・ង・ច・ិ・ត・្・ត
អាណត្ត	អ・ា・ណ・ត・្・ត
បែរចិត្ត	ប・ែ・រ・ច・ិ・ត・្・ត
លក្ខណសម្បត្តិ	ល・ក・្・ខ・ណ・ស・ម・្・ប・ត・្・ត・ិ
កាត់ចិត្ត	ក・ា・ត・់・ច・ិ・ត・្・ត
ពេញចិត្ត	ព・េ・ញ・ច・ិ・ត・្・ត
ឧត្តុង្គឧត្តម	ឧ・ត・្・ត・ុ・ង・្・គ・ឧ・ត・្・ត・ម
ឧត្តុង្គឧត្តម	ឧ・ត・្・ត・ុ・ង・្・គ・ឧ・ត・្・ត・ម
ក្មេងវត្ត	ក・្・ម・េ・ង・វ・ត・្・ត
ត្រូវអាបត្តិ	ត・្・រ・ូ・វ・អ・ា・ប・ត・្・ត・ិ
វត្តភ្នំ	វ・ត・្・ត・ភ・្・ន・ំ
មេត្តាប្រោស	ម・េ・ត・្・ត・ា・ប・្・រ・ោ・ស
អាណាខេត្ត	អ・ា・ណ・ា・ខ・េ・ត・្・ត
សម្បត្តិ	ស・ម・្・ប・ត・្・ត・ិ
ស្វាយឧត្តម	ស・្・វ・ា・យ・ឧ・ត・្・ត・ម
អ្នកស្ម័គ្រចិត្ត	អ・្・ន・ក・ស・្・ម・័・គ・្・រ・ច・ិ・ត・្・ត
ព្រះរាជខេត្ត	ព・្・រ・ះ・រ・ា・ជ・ខ・េ・ត・្・ត
ឧត្តរមានជ័យ	ឧ・ត・្・ត・រ・ម・ា・ន・ជ・័・យ
ធម្មយុត្ត	ធ・ម・្・ម・យ・ុ・ត・្・ត
ទួលនិមិត្ត	ទ・ួ・ល・ន・ិ・ម・ិ・ត・្・ត
សប្បាយចិត្ត	ស・ប・្・ប・ា・យ・ច・ិ・ត・្・ត
ប៉ោយវត្ត	ប・៉・ោ・យ・វ・ត・្・ត
បរិយត្តិ	ប・រ・ិ・យ・ត・្・ត・ិ
ចិត្តជឿ	ច・ិ・ត・្・ត・ជ・ឿ
វត្តកនឺ្ទ	វ・ត・្・ត・ក・ន・ឺ・្・ទ
ជ័យសម្បត្តិ	ជ・័・យ・ស・ម・្・ប・ត・្・ត・ិ
ចិត្តអាក្រក់	ច・ិ・ត・្・ត・អ・ា・ក・្・រ・ក・់
ព្រះបាទនរោត្តម	ព・្・រ・ះ・ប・ា・ទ・ន・រ・ោ・ត・្・ត・ម
និមិត្តហេតុ	ន・ិ・ម・ិ・ត・្・ត・ហ・េ・ត・ុ
មិត្តភាព	ម・ិ・ត・្・ត・ភ・ា・ព
មានចិត្តជា	ម・ា・ន・ច・ិ・ត・្・ត・ជ・ា
ថ្មីឧត្តម	ថ・្・ម・ី・ឧ・ត・្・ត・ម
គុណសម្បត្តិ	គ・ុ・ណ・ស・ម・្・ប・ត・្・ត・ិ
កែវឧត្តម	ក・ែ・វ・ឧ・ត・្・ត・ម
លះកាត់ចិត្ត	ល・ះ・ក・ា・ត・់・ច・ិ・ត・្・ត
ពិបាកចិត្ត	ព・ិ・ប・ា・ក・ច・ិ・ត・្・ត
សត្តឃាត	ស・ត・្・ត・ឃ・ា・ត
ជីវប្រវត្តិ	ជ・ី・វ・ប・្・រ・វ・ត・្・ត・ិ
គ្រងរាជសម្បត្តិ	គ・្・រ・ង・រ・ា・ជ・ស・ម・្・ប・ត・្・ត・ិ
យុត្តាធិការ	យ・ុ・ត・្・ត・ា・ធ・ិ・ក・ា・រ
មិនអស់ចិត្ត	ម・ិ・ន・អ・ស・់・ច・ិ・ត・្・ត
វត្តស្លែង	វ・ត・្・ត・ស・្・ល・ែ・ង
ចិត្តសុភាព	ច・ិ・ត・្・ត・ស・ុ・ភ・ា・ព
សាលាវត្ត	ស・ា・ល・ា・វ・ត・្・ត
ចិត្តល្អ	ច・ិ・ត・្・ត・ល・្・អ
ប្របវត្ត	ប・្・រ・ប・វ・ត・្・ត
ចិត្តច្រើន	ច・ិ・ត・្・ត・ច・្・រ・ើ・ន
សុវត្តិភាព	ស・ុ・វ・ត・្・ត・ិ・ភ・ា・ព
ទាក់ទាញចិត្ត	ទ・ា・ក・់・ទ・ា・ញ・ច・ិ・ត・្・ត
វិត្ត	វ・ិ・ត・្・ត
នីតិប្បញ្ញត្តិ	ន・ី・ត・ិ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
ខកចិត្ត	ខ・ក・ច・ិ・ត・្・ត
ស្វ័យប្រវត្តិ	ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត・ិ
សុត្តនិបាត	ស・ុ・ត・្・ត・ន・ិ・ប・ា・ត
អស់ចិត្តអស់ថ្លើម	អ・ស・់・ច・ិ・ត・្・ត・អ・ស・់・ថ・្・ល・ើ・ម
អនោតត្ត	អ・ន・ោ・ត・ត・្・ត
ចិត្តខ្លាំង	ច・ិ・ត・្・ត・ខ・្・ល・ា・ំ・ង
ក្បត់ចិត្ត	ក・្・ប・ត・់・ច・ិ・ត・្・ត
សហប្រតិបត្តិការ	ស・ហ・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・ា・រ
ឲ្យអស់ចិត្ត	ឲ・្・យ・អ・ស・់・ច・ិ・ត・្・ត
ជ័យនិវត្តន៍	ជ・័・យ・ន・ិ・វ・ត・្・ត・ន・៍
កាលានុវត្តនភាព	ក・ា・ល・ា・ន・ុ・វ・ត・្・ត・ន・ភ・ា・ព
ដឹងចិត្ត	ដ・ឹ・ង・ច・ិ・ត・្・ត
ចក្រពត្តិនិយម	ច・ក・្・រ・ព・ត・្・ត・ិ・ន・ិ・យ・ម
ផ្គាប់ចិត្ត	ផ・្・គ・ា・ប・់・ច・ិ・ត・្・ត
សុំចិត្ត	ស・ុ・ំ・ច・ិ・ត・្・ត
យកចិត្តទុកដាក់	យ・ក・ច・ិ・ត・្・ត・ទ・ុ・ក・ដ・ា・ក・់
វិបត្តិស្នេហា	វ・ិ・ប・ត・្・ត・ិ・ស・្・ន・េ・ហ・ា
ព្រឹត្តិការណ៍	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
ចិត្តតិច	ច・ិ・ត・្・ត・ត・ិ・ច
វត្ត	វ・ត・្・ត
យុត្តិការ	យ・ុ・ត・្・ត・ិ・ក・ា・រ
សម្បត្តិទ្រព្យ	ស・ម・្・ប・ត・្・ត・ិ・ទ・្・រ・ព・្・យ
សមាបត្តិ	ស・ម・ា・ប・ត・្・ត・ិ
ប្រព្រឹត្តអំពើ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・អ・ំ・ព・ើ
ដាច់ចិត្ត	ដ・ា・ច・់・ច・ិ・ត・្・ត
ព្រះករុណាមេត្តា	ព・្・រ・ះ・ក・រ・ុ・ណ・ា・ម・េ・ត・្・ត・ា
ការប្រព្រឹត្តិ	ក・ា・រ・ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
មហាមិត្ត	ម・ហ・ា・ម・ិ・ត・្・ត
មិត្តរ៉ាច	ម・ិ・ត・្・ត・រ・៉・ា・ច
ឧត្តុង្គឧត្ដម	ឧ・ត・្・ត・ុ・ង・្・គ・ឧ・ត・្・ដ・ម
ភ្ញៀវកិត្តិយស	ភ・្・ញ・ៀ・វ・ក・ិ・ត・្・ត・ិ・យ・ស
ខត្តិយ	ខ・ត・្・ត・ិ・យ
ចំណង់ចំណូលចិត្ត	ច・ំ・ណ・ង・់・ច・ំ・ណ・ូ・ល・ច・ិ・ត・្・ត
មិត្តជិតដិត	ម・ិ・ត・្・ត・ជ・ិ・ត・ដ・ិ・ត
ច័ន្ទនិមិត្ត	ច・័・ន・្・ទ・ន・ិ・ម・ិ・ត・្・ត
សេរីភ័ត្ត	ស・េ・រ・ី・ភ・័・ត・្・ត
បទបញ្ញត្តិ	ប・ទ・ប・ញ・្・ញ・ត・្・ត・ិ
ចិត្តខឹង	ច・ិ・ត・្・ត・ខ・ឹ・ង
អត្តពលកម្ម	អ・ត・្・ត・ព・ល・ក・ម・្・ម
ជ័យឧត្តម	ជ・័・យ・ឧ・ត・្・ត・ម
មត្តេយ្យសាលា	ម・ត・្・ត・េ・យ・្・យ・ស・ា・ល・ា
វត្តស្លា	វ・ត・្・ត・ស・្・ល・ា
ព្រឹត្តិការ	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ
ចិត្តបុណ្យ	ច・ិ・ត・្・ត・ប・ុ・ណ・្・យ
សម្មាបដិបត្តិ	ស・ម・្・ម・ា・ប・ដ・ិ・ប・ត・្・ត・ិ
គាប់ចិត្ត	គ・ា・ប・់・ច・ិ・ត・្・ត
ប្រព្រឹត្តិកម្ម	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ក・ម・្・ម
សេនារាជឧត្តម	ស・េ・ន・ា・រ・ា・ជ・ឧ・ត・្・ត・ម
វិមុត្តិ	វ・ិ・ម・ុ・ត・្・ត・ិ
ឃ្លាំងសម្បត្តិ	ឃ・្・ល・ា・ំ・ង・ស・ម・្・ប・ត・្・ត・ិ
អត្តចរិត	អ・ត・្・ត・ច・រ・ិ・ត
ចិត្តក្ដៅ	ច・ិ・ត・្・ត・ក・្・ដ・ៅ
ឈឺចិត្ត	ឈ・ឺ・ច・ិ・ត・្・ត
កម្សាន្តចិត្ត	ក・ម・្・ស・ា・ន・្・ត・ច・ិ・ត・្・ត
ចិត្តស្មោះ	ច・ិ・ត・្・ត・ស・្・ម・ោ・ះ
សេចក្តីសំរេចចិត្ត	ស・េ・ច・ក・្・ត・ី・ស・ំ・រ・េ・ច・ច・ិ・ត・្・ត
ទាន់ចិត្ត	ទ・ា・ន・់・ច・ិ・ត・្・ត
សម្រេចចិត្ត	ស・ម・្・រ・េ・ច・ច・ិ・ត・្・ត
ប្រព្រឹត្តិ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
បរិត្ត	ប・រ・ិ・ត・្・ត
ព្រឹត្តិបត្រ	ព・្・រ・ឹ・ត・្・ត・ិ・ប・ត・្・រ
សន្តានចិត្ត	ស・ន・្・ត・ា・ន・ច・ិ・ត・្・ត
ចិត្តត្រង់	ច・ិ・ត・្・ត・ត・្・រ・ង・់
សុបិននិមិត្ត	ស・ុ・ប・ិ・ន・ន・ិ・ម・ិ・ត・្・ត
ឥន្ទបត្ត	ឥ・ន・្・ទ・ប・ត・្・ត
ចិត្តអាណិតអាសូរ	ច・ិ・ត・្・ត・អ・ា・ណ・ិ・ត・អ・ា・ស・ូ・រ
អាណត្តិ	អ・ា・ណ・ត・្・ត・ិ
ទុកចិត្ត	ទ・ុ・ក・ច・ិ・ត・្・ត
វិវត្តន៍	វ・ិ・វ・ត・្・ត・ន・៍
មេត្តាធម៌	ម・េ・ត・្・ត・ា・ធ・ម・៌
ជំរុញលើកទឹកចិត្ត	ជ・ំ・រ・ុ・ញ・ល・ើ・ក・ទ・ឹ・ក・ច・ិ・ត・្・ត
មនុស្សចិត្ត	ម・ន・ុ・ស・្・ស・ច・ិ・ត・្・ត
ក្រោយវត្ត	ក・្・រ・ោ・យ・វ・ត・្・ត
ឧត្តម	ឧ・ត・្・ត・ម
វត្តពោធិ៍	វ・ត・្・ត・ព・ោ・ធ・ិ・៍
សុត្តន្តបិដក	ស・ុ・ត・្・ត・ន・្・ត・ប・ិ・ដ・ក
ជើងវត្ត	ជ・ើ・ង・វ・ត・្・ត
វត្តតាមិម	វ・ត・្・ត・ត・ា・ម・ិ・ម
និរោធសមាបត្តិ	ន・ិ・រ・ោ・ធ・ស・ម・ា・ប・ត・្・ត・ិ
គួរទុកចិត្ត	គ・ួ・រ・ទ・ុ・ក・ច・ិ・ត・្・ត
បានចិត្ត	ប・ា・ន・ច・ិ・ត・្・ត
កិច្ចប្រតិបត្តិ	ក・ិ・ច・្・ច・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
ប្រវត្តិ	ប・្・រ・វ・ត・្・ត・ិ
តូចចិត្ត	ត・ូ・ច・ច・ិ・ត・្・ត
វត្តត្រាច	វ・ត・្・ត・ត・្・រ・ា・ច
