ម្ដេចក៏ដោយ	ម・្・ដ・េ・ច・ក・៏・ដ・ោ・យ
ម្ដេចទៅអេះ?	ម・្・ដ・េ・ច・ទ・ៅ・អ・េ・ះ・?
ម្ដេចហ៏?	ម・្・ដ・េ・ច・ហ・៏・?
ម្ដុំ	ម・្・ដ・ុ・ំ
មនុស្សយកសម្ដីដំរីយកភ្លុក	ម・ន・ុ・ស・្・ស・យ・ក・ស・ម・្・ដ・ី・ដ・ំ・រ・ី・យ・ក・ភ・្・ល・ុ・ក
យកសម្ដី	យ・ក・ស・ម・្・ដ・ី
សម្ដីរដាក់រដុប	ស・ម・្・ដ・ី・រ・ដ・ា・ក・់・រ・ដ・ុ・ប
សម្ដីរដិបរដុប	ស・ម・្・ដ・ី・រ・ដ・ិ・ប・រ・ដ・ុ・ប
របូតសម្ដី	រ・ប・ូ・ត・ស・ម・្・ដ・ី
រម្ដោះ	រ・ម・្・ដ・ោ・ះ
រុញសម្ដី	រ・ុ・ញ・ស・ម・្・ដ・ី
លាសម្ដី	ល・ា・ស・ម・្・ដ・ី
លិចតែម្ដង!	ល・ិ・ច・ត・ែ・ម・្・ដ・ង・!
លឿនសម្ដី	ល・ឿ・ន・ស・ម・្・ដ・ី
លេងសម្ដី	ល・េ・ង・ស・ម・្・ដ・ី
សម្ដីល្ហាច	ស・ម・្・ដ・ី・ល・្・ហ・ា・ច
សម្ដីល្ហាចល្ហ	ស・ម・្・ដ・ី・ល・្・ហ・ា・ច・ល・្・ហ
ល្អោចតែម្ដង!	ល・្・អ・ោ・ច・ត・ែ・ម・្・ដ・ង・!
វាយចុងសម្ដី	វ・ា・យ・ច・ុ・ង・ស・ម・្・ដ・ី
វាសសម្ដី	វ・ា・ស・ស・ម・្・ដ・ី
សម្ដីសជាតិមារយាទសត្រកូល	ស・ម・្・ដ・ី・ស・ជ・ា・ត・ិ・ម・ា・រ・យ・ា・ទ・ស・ត・្・រ・ក・ូ・ល
សបសម្ដី	ស・ប・ស・ម・្・ដ・ី
សម្ដត	ស・ម・្・ដ・ត
សម្ដាប់ស្ទង់	ស・ម・្・ដ・ា・ប・់・ស・្・ទ・ង・់
សម្ដី	ស・ម・្・ដ・ី
កាច់សម្ដី	ក・ា・ច・់・ស・ម・្・ដ・ី
