ញាតិសន្ដាន	ញាតិ|សន្ដាន	ញ・ា・ត・ិ・ស・ន・្・ដ・ា・ន
តន្ដ្រី	តន្ដ្រី	ត・ន・្・ដ・្・រ・ី
តូរ្យតន្ដ្រី	តូរ្យ|តន្ដ្រី	ត・ូ・រ・្・យ・ត・ន・្・ដ・្・រ・ី
បន្ដ	បន្ដ	ប・ន・្・ដ
បន្ដក់	បន្ដក់	ប・ន・្・ដ・ក・់
បន្ដិច	បន្ដិច	ប・ន・្・ដ・ិ・ច
បន្ដិចបន្តួច	បន្ដិចបន្តួច	ប・ន・្・ដ・ិ・ច・ប・ន・្・ត・ួ・ច
ប្រណីសន្ដោស	ប្រណី|សន្ដោស	ប・្・រ・ណ・ី・ស・ន・្・ដ・ោ・ស
សន្ដាន	សន្ដាន	ស・ន・្・ដ・ា・ន
សន្ដោស	សន្ដោស	ស・ន・្・ដ・ោ・ស
សម្រាន្ដ	សម្រាន្ដ	ស・ម・្・រ・ា・ន・្・ដ
សុខសាន្ដ	សុខ|សាន្ដ	ស・ុ・ខ・ស・ា・ន・្・ដ
សុបិន្ដ	សុបិន្ដ	ស・ុ・ប・ិ・ន・្・ដ
