ក្ដៅចិត្ត	ក្ដៅ|ចិត្ត	ក・្・ដ・ៅ・ច・ិ・ត・្・ត
ក្ដៅសាច់	ក្ដៅ|សាច់	ក・្・ដ・ៅ・ស・ា・ច・់
ក្ដៅស្លឹកត្រចៀក	ក្ដៅ|ស្លឹក|ត្រចៀក	ក・្・ដ・ៅ・ស・្・ល・ឹ・ក・ត・្・រ・ច・ៀ・ក
ក្ដៅស្អុះ	ក្ដៅ|ស្អុះ	ក・្・ដ・ៅ・ស・្・អ・ុ・ះ
ខាត់ណាក្ដោប	ខាត់|ណា|ក្ដោប	ខ・ា・ត・់・ណ・ា・ក・្・ដ・ោ・ប
ខៃសេចក្ដី	ខៃ|សេចក្ដី	ខ・ៃ・ស・េ・ច・ក・្・ដ・ី
គជមុក្ដា	គជមុក្ដា	គ・ជ・ម・ុ・ក・្・ដ・ា
គារវភក្ដី	គារវភក្ដី	គ・ា・រ・វ・ភ・ក・្・ដ・ី
គូក្ដី	គូ|ក្ដី	គ・ូ・ក・្・ដ・ី
ចងល័ក្ដ	ចង|ល័ក្ដ	ច・ង・ល・័・ក・្・ដ
ឆាក្ដៅ	ឆា|ក្ដៅ	ឆ・ា・ក・្・ដ・ៅ
ជម្រះក្ដី	ជម្រះ|ក្ដី	ជ・ម・្・រ・ះ・ក・្・ដ・ី
ជាប់ក្ដី	ជាប់|ក្ដី	ជ・ា・ប・់・ក・្・ដ・ី
ញាតិភក្ដិ	ញាតិ|ភក្ដិ	ញ・ា・ត・ិ・ភ・ក・្・ដ・ិ
ដងក្ដារ	ដង|ក្ដារ	ដ・ង・ក・្・ដ・ា・រ
ដឹងក្ដី	ដឹង|ក្ដី	ដ・ឹ・ង・ក・្・ដ・ី
ឋានន្តរសក្ដិ	ឋានន្តរ|សក្ដិ	ឋ・ា・ន・ន・្・ត・រ・ស・ក・្・ដ・ិ
តង្កៀបក្ដាម	តង្កៀប|ក្ដាម	ត・ង・្・ក・ៀ・ប・ក・្・ដ・ា・ម
តែងសេចក្ដីរុំៗ	តែង|សេចក្ដី|រុំ|ៗ	ត・ែ・ង・ស・េ・ច・ក・្・ដ・ី・រ・ុ・ំ・ៗ
ត្រដោកក្ដារ	ត្រដោក|ក្ដារ	ត・្・រ・ដ・ោ・ក・ក・្・ដ・ា・រ
ថណាយក្ដី	ថណាយ|ក្ដី	ថ・ណ・ា・យ・ក・្・ដ・ី
ថ្ដោកក្ដារ	ថ្ដោក|ក្ដារ	ថ・្・ដ・ោ・ក・ក・្・ដ・ា・រ
ទម្រង់ស័ក្ដិ	ទម្រង់|ស័ក្ដិ	ទ・ម・្・រ・ង・់・ស・័・ក・្・ដ・ិ
ធ្លាក់ថ្លើមក្ដុក	ធ្លាក់|ថ្លើម|ក្ដុក	ធ・្・ល・ា・ក・់・ថ・្・ល・ើ・ម・ក・្・ដ・ុ・ក
ធ្វើធ្មេញលេញល័ក្ដ	ធ្វើ|ធ្មេញ|លេញ|ល័ក្ដ	ធ・្・វ・ើ・ធ・្・ម・េ・ញ・ល・េ・ញ・ល・័・ក・្・ដ
នៅក្ដី	នៅ|ក្ដី	ន・ៅ・ក・្・ដ・ី
បណ្ដាស័ក្ដិ	បណ្ដា|ស័ក្ដិ	ប・ណ・្・ដ・ា・ស・័・ក・្・ដ・ិ
បន្ទាយក្ដី	បន្ទាយ|ក្ដី	ប・ន・្・ទ・ា・យ・ក・្・ដ・ី
បន្ទំល័ក្ដ	បន្ទំល័ក្ដ	ប・ន・្・ទ・ំ・ល・័・ក・្・ដ
បរិភោក្ដា	បរិភោក្ដា	ប・រ・ិ・ភ・ោ・ក・្・ដ・ា
បាយក្ដាំង	បាយ|ក្ដាំង	ប・ា・យ・ក・្・ដ・ា・ំ・ង
បាយក្ដាំងគំទឹក	បាយ|ក្ដាំង|គំ|ទឹក	ប・ា・យ・ក・្・ដ・ា・ំ・ង・គ・ំ・ទ・ឹ・ក
បុកល័ក្ដ	បុក|ល័ក្ដ	ប・ុ・ក・ល・័・ក・្・ដ
បុណ្យស័ក្ដិ	បុណ្យ|ស័ក្ដិ	ប・ុ・ណ・្・យ・ស・័・ក・្・ដ・ិ
បើកក្ដោង	បើក|ក្ដោង	ប・ើ・ក・ក・្・ដ・ោ・ង
បៀមពាក្យបៀមសេចក្ដី	បៀម|ពាក្យ|បៀម|សេចក្ដី	ប・ៀ・ម・ព・ា・ក・្・យ・ប・ៀ・ម・ស・េ・ច・ក・្・ដ・ី
ប៉ានសក្ដិ	ប៉ាន|សក្ដិ	ប・៉・ា・ន・ស・ក・្・ដ・ិ
ប្រកាសសេចក្ដី	ប្រកាស|សេចក្ដី	ប・្・រ・ក・ា・ស・ស・េ・ច・ក・្・ដ・ី
ប្រធានសក្ដិ	ប្រធាន|សក្ដិ	ប・្・រ・ធ・ា・ន・ស・ក・្・ដ・ិ
ប្រែរៀងសេចក្ដី	ប្រែ|រៀង|សេចក្ដី	ប・្・រ・ែ・រ・ៀ・ង・ស・េ・ច・ក・្・ដ・ី
ផែនក្ដារ	ផែនក្ដារ	ផ・ែ・ន・ក・្・ដ・ា・រ
ផ្គរផ្ដាំក្ដាមខ្យង	ផ្គរ|ផ្ដាំ|ក្ដាម|ខ្យង	ផ・្・គ・រ・ផ・្・ដ・ា・ំ・ក・្・ដ・ា・ម・ខ・្・យ・ង
ផ្លូវសេចក្ដី	ផ្លូវ|សេចក្ដី	ផ・្・ល・ូ・វ・ស・េ・ច・ក・្・ដ・ី
ពងក្ដ	ពង|ក្ដ	ព・ង・ក・្・ដ
ពងក្ដ!	ពង|ក្ដ|!	ព・ង・ក・្・ដ・!
ពលសក្ដិ	ពល|សក្ដិ	ព・ល・ស・ក・្・ដ・ិ
ពលស័ក្ដិ	ពល|ស័ក្ដិ	ព・ល・ស・័・ក・្・ដ・ិ
ពហូសក្ដិ	ពហូស|ក្ដិ	ព・ហ・ូ・ស・ក・្・ដ・ិ
ពិភ័ក្ដិ	ពិភ័ក្ដិ	ព・ិ・ភ・័・ក・្・ដ・ិ
ភក្ដិ	ភក្ដិ	ភ・ក・្・ដ・ិ
ភក្ដី	ភក្ដី	ភ・ក・្・ដ・ី
ភក្ដីភាព	ភក្ដី|ភាព	ភ・ក・្・ដ・ី・ភ・ា・ព
ភក្ដីអនុជិត	ភក្ដី|អនុជិត	ភ・ក・្・ដ・ី・អ・ន・ុ・ជ・ិ・ត
ភក្ដ្រ	ភក្ដ្រ	ភ・ក・្・ដ・្・រ
ភោក្ដា	ភោក្ដា	ភ・ោ・ក・្・ដ・ា
ភ័ក្ដិ	ភ័ក្ដិ	ភ・័・ក・្・ដ・ិ
ភ័ក្ដ្រ	ភ័ក្ដ្រ	ភ・័・ក・្・ដ・្・រ
មណ្ឌលអាកាសក្ដៅ	មណ្ឌល|អាកាស|ក្ដៅ	ម・ណ・្・ឌ・ល・អ・ា・ក・ា・ស・ក・្・ដ・ៅ
មិត្រភក្ដិ	មិត្រ|ភក្ដិ	ម・ិ・ត・្・រ・ភ・ក・្・ដ・ិ
មុក្ដា	មុក្ដា	ម・ុ・ក・្・ដ・ា
មុក្ដាហារ	មុក្ដាហារ	ម・ុ・ក・្・ដ・ា・ហ・ា・រ
មូលសេចក្ដី	មូល|សេចក្ដី	ម・ូ・ល・ស・េ・ច・ក・្・ដ・ី
មេល័ក្ដ	មេល័ក្ដ	ម・េ・ល・័・ក・្・ដ
ម៉ាស៊ីនទឹកក្ដៅ	ម៉ាស៊ីន|ទឹក|ក្ដៅ	ម・៉・ា・ស・៊・ី・ន・ទ・ឹ・ក・ក・្・ដ・ៅ
ម្ជុលក្ដោង	ម្ជុល|ក្ដោង	ម・្・ជ・ុ・ល・ក・្・ដ・ោ・ង
ម្ដេចក្ដី	ម្ដេច|ក្ដី	ម・្・ដ・េ・ច・ក・្・ដ・ី
ម្អមក្ដាម	ម្អ|មក្ដាម	ម・្・អ・ម・ក・្・ដ・ា・ម
យកក្ដី	យក|ក្ដី	យ・ក・ក・្・ដ・ី
យសសក្ដិ	យស|សក្ដិ	យ・ស・ស・ក・្・ដ・ិ
យសស័ក្ដិ	យស|ស័ក្ដិ	យ・ស・ស・័・ក・្・ដ・ិ
យោងសេចក្ដី	យោង|សេចក្ដី	យ・ោ・ង・ស・េ・ច・ក・្・ដ・ី
រាជភក្ដី	រាជ|ភក្ដី	រ・ា・ជ・ភ・ក・្・ដ・ី
រាជសក្ដិ	រាជ|សក្ដិ	រ・ា・ជ・ស・ក・្・ដ・ិ
រាជស័ក្ដិ	រាជ|ស័ក្ដិ	រ・ា・ជ・ស・័・ក・្・ដ・ិ
លាយល័ក្ដ	លាយ|ល័ក្ដ	ល・ា・យ・ល・័・ក・្・ដ
លីងល័ក្ដ	លីង|ល័ក្ដ	ល・ី・ង・ល・័・ក・្・ដ
ល័ក្ដ	ល័ក្ដ	ល・័・ក・្・ដ
ល័ក្ដជុំកន្លង់	ល័ក្ដ|ជុំ|កន្លង់	ល・័・ក・្・ដ・ជ・ុ・ំ・ក・ន・្・ល・ង・់
វែកផ្លូវសេចក្ដី	វែក|ផ្លូវ|សេចក្ដី	វ・ែ・ក・ផ・្・ល・ូ・វ・ស・េ・ច・ក・្・ដ・ី
សក្ដា	សក្ដា	ស・ក・្・ដ・ា
សក្ដាតេជ	សក្ដាតេជ	ស・ក・្・ដ・ា・ត・េ・ជ
សក្ដាតេជះ	សក្ដា|តេជះ	ស・ក・្・ដ・ា・ត・េ・ជ・ះ
សក្ដានុភាព	សក្ដានុភាព	ស・ក・្・ដ・ា・ន・ុ・ភ・ា・ព
សក្ដិ	សក្ដិ	ស・ក・្・ដ・ិ
សក្ដិត្រ័យ	សក្ដិត្រ័យ	ស・ក・្・ដ・ិ・ត・្・រ・័・យ
