កុម្មុយនីស្ដ	ក・ុ・ម・្・ម・ុ・យ・ន・ី・ស・្・ដ
ស្ដម្ភ	ស・្・ដ・ម・្・ភ
ស្ដុកស្ដម្ភ	ស・្・ដ・ុ・ក・ស・្・ដ・ម・្・ភ
ស្ដុកស្ដម្ភ	ស・្・ដ・ុ・ក・ស・្・ដ・ម・្・ភ
ស្ដាប់	ស・្・ដ・ា・ប・់
ជឿស្ដាប់	ជ・ឿ・ស・្・ដ・ា・ប・់
ស្ដាប់បង្គាប់	ស・្・ដ・ា・ប・់・ប・ង・្・គ・ា・ប・់
ស្ដាយ	ស・្・ដ・ា・យ
ស្ដាយគំនិត	ស・្・ដ・ា・យ・គ・ំ・ន・ិ・ត
ស្ដាយស្រណោះ	ស・្・ដ・ា・យ・ស・្・រ・ណ・ោ・ះ
ស្ដាយក្រោយ	ស・្・ដ・ា・យ・ក・្・រ・ោ・យ
ស្ដារ	ស・្・ដ・ា・រ
ស្ដារចិត្ត	ស・្・ដ・ា・រ・ច・ិ・ត・្・ត
ស្ដី	ស・្・ដ・ី
ជេរស្ដី	ជ・េ・រ・ស・្・ដ・ី
មិនស្ដីនឹងគ្នា	ម・ិ・ន・ស・្・ដ・ី・ន・ឹ・ង・គ・្・ន・ា
មិនស្ដីរកគ្នា	ម・ិ・ន・ស・្・ដ・ី・រ・ក・គ・្・ន・ា
ស្ដីជេរ	ស・្・ដ・ី・ជ・េ・រ
ស្ដីថា	ស・្・ដ・ី・ថ・ា
ស្ដីប្រដៅ	ស・្・ដ・ី・ប・្・រ・ដ・ៅ
ស្ដីប្រពន្ធ	ស・្・ដ・ី・ប・្・រ・ព・ន・្・ធ
ស្ដីឱ្យ	ស・្・ដ・ី・ឱ・្・យ
ស្ដី	ស・្・ដ・ី
ស្ដីទី	ស・្・ដ・ី・ទ・ី
ស្ដឹង	ស・្・ដ・ឹ・ង
ស្ដឹង	ស・្・ដ・ឹ・ង
ស្ដឹង	ស・្・ដ・ឹ・ង
ស្ដឺត	ស・្・ដ・ឺ・ត
ស្ដុក	ស・្・ដ・ុ・ក
អ្នកមានស្ដុក	អ・្・ន・ក・ម・ា・ន・ស・្・ដ・ុ・ក
ស្ដុកស្ដុរ	ស・្・ដ・ុ・ក・ស・្・ដ・ុ・រ
ស្ដុកស្ដុរ	ស・្・ដ・ុ・ក・ស・្・ដ・ុ・រ
ស្ដុកស្ដោរ	ស・្・ដ・ុ・ក・ស・្・ដ・ោ・រ
ស្ដុកស្ដោរ	ស・្・ដ・ុ・ក・ស・្・ដ・ោ・រ
ស្ដូក	ស・្・ដ・ូ・ក
ផសស្ដូក	ផ・ស・ស・្・ដ・ូ・ក
ស្ដូកស្ដឹង	ស・្・ដ・ូ・ក・ស・្・ដ・ឹ・ង
ស្ដូកស្ដឹង	ស・្・ដ・ូ・ក・ស・្・ដ・ឹ・ង
ស្ដួច	ស・្・ដ・ួ・ច
