សេចក្តីសំរេចចិត្ត	ស・េ・ច・ក・្・ត・ី・ស・ំ・រ・េ・ច・ច・ិ・ត・្・ត
តិចក្តីច្រើនក្តី	ត・ិ・ច・ក・្・ត・ី・ច・្・រ・ើ・ន・ក・្・ត・ី
តិចក្តីច្រើនក្តី	ត・ិ・ច・ក・្・ត・ី・ច・្・រ・ើ・ន・ក・្・ត・ី
បុណ្យស័ក្តិ	ប・ុ・ណ・្・យ・ស・័・ក・្・ត・ិ
ក្តេម៉ូត	ក・្・ត・េ・ម・៉・ូ・ត
យសសក្តិ	យ・ស・ស・ក・្・ត・ិ
ក្តឹប	ក・្・ត・ឹ・ប
ក្តិបថ្ម	ក・្・ត・ិ・ប・ថ・្・ម
ក្តិប	ក・្・ត・ិ・ប
យ៉ាងណាក្តី	យ・៉・ា・ង・ណ・ា・ក・្・ត・ី
បុណ្យសក្តិ	ប・ុ・ណ・្・យ・ស・ក・្・ត・ិ
ក្តោយ	ក・្・ត・ោ・យ
សេចក្តីរំភើប	ស・េ・ច・ក・្・ត・ី・រ・ំ・ភ・ើ・ប
សាលាក្តី	ស・ា・ល・ា・ក・្・ត・ី
ក្តីឈ្នួល	ក・្・ត・ី・ឈ・្・ន・ួ・ល
តាក្តុល	ត・ា・ក・្・ត・ុ・ល
ភោក្តា	ភ・ោ・ក・្・ត・ា
អង្គក្តួច	អ・ង・្・គ・ក・្・ត・ួ・ច
ភក្តី	ភ・ក・្・ត・ី
មិត្តភ័ក្តិ	ម・ិ・ត・្・ត・ភ・័・ក・្・ត・ិ
សក្តានុពល	ស・ក・្・ត・ា・ន・ុ・ព・ល
ក្តាន់រយ	ក・្・ត・ា・ន・់・រ・យ
ក្តុកចិត្ត	ក・្・ត・ុ・ក・ច・ិ・ត・្・ត
សមណស័ក្តិ	ស・ម・ណ・ស・័・ក・្・ត・ិ
សេចក្តីពេញចិត្ត	ស・េ・ច・ក・្・ត・ី・ព・េ・ញ・ច・ិ・ត・្・ត
ព្រៃក្តីកណ្តាល	ព・្・រ・ៃ・ក・្・ត・ី・ក・ណ・្・ត・ា・ល
លើសេចក្តី	ល・ើ・ស・េ・ច・ក・្・ត・ី
វង់ភក្ត្រ	វ・ង・់・ភ・ក・្・ត・្・រ
អ្នកក្តី	អ・្・ន・ក・ក・្・ត・ី
ព្រះភក្ត្រ	ព・្・រ・ះ・ភ・ក・្・ត・្・រ
ស័ក្តិសិទ្ធិ	ស・័・ក・្・ត・ិ・ស・ិ・ទ・្・ធ・ិ
ស្គាក្តី	ស・្・គ・ា・ក・្・ត・ី
ក្តីថ្ក	ក・្・ត・ី・ថ・្・ក
ក្តោង	ក・្・ត・ោ・ង
ស័ក្តិសិទ្ធិ​	ស・័・ក・្・ត・ិ・ស・ិ・ទ・្・ធ・ិ・​
សេចក្តីព្រាង	ស・េ・ច・ក・្・ត・ី・ព・្・រ・ា・ង
សេចក្តីអធិប្បាយ	ស・េ・ច・ក・្・ត・ី・អ・ធ・ិ・ប・្・ប・ា・យ
ស័ក្តិសម	ស・័・ក・្・ត・ិ・ស・ម
រកក្តី	រ・ក・ក・្・ត・ី
វត្ថុស័ក្តិសិទ្ធិ	វ・ត・្・ថ・ុ・ស・័・ក・្・ត・ិ・ស・ិ・ទ・្・ធ・ិ
ក្តិច	ក・្・ត・ិ・ច
ត្រពាំងក្តាម	ត・្・រ・ព・ា・ំ・ង・ក・្・ត・ា・ម
មិត្តភក្តិ	ម・ិ・ត・្・ត・ភ・ក・្・ត・ិ
ក្តីរំពឹង	ក・្・ត・ី・រ・ំ・ព・ឹ・ង
កក់ក្តៅ	ក・ក・់・ក・្・ត・ៅ
ក្តាមពុក	ក・្・ត・ា・ម・ព・ុ・ក
ត្រពាំងក្តារ	ត・្・រ・ព・ា・ំ・ង・ក・្・ត・ា・រ
សេចក្តីពិត	ស・េ・ច・ក・្・ត・ី・ព・ិ・ត
ត្រពាំងក្តី	ត・្・រ・ព・ា・ំ・ង・ក・្・ត・ី
ក្តន់	ក・្・ត・ន・់
ក្តុយ	ក・្・ត・ុ・យ
កំពង់ក្តី	ក・ំ・ព・ង・់・ក・្・ត・ី
អង្គក្តី	អ・ង・្・គ・ក・្・ត・ី
ពីសេចក្តី	ព・ី・ស・េ・ច・ក・្・ត・ី
ក្តេរ៉ូថែម	ក・្・ត・េ・រ・៉・ូ・ថ・ែ・ម
សេចក្តីចំរើន	ស・េ・ច・ក・្・ត・ី・ច・ំ・រ・ើ・ន
ត្រគៀបក្តាម	ត・្・រ・គ・ៀ・ប・ក・្・ត・ា・ម
ស័ក្តិធំ	ស・័・ក・្・ត・ិ・ធ・ំ
ក្តីតាចិន	ក・្・ត・ី・ត・ា・ច・ិ・ន
ក្តីតាហុក	ក・្・ត・ី・ត・ា・ហ・ុ・ក
ក្តីតាកុយ	ក・្・ត・ី・ត・ា・ក・ុ・យ
ក្តុម្ពី	ក・្・ត・ុ・ម・្・ព・ី
ក្តួច	ក・្・ត・ួ・ច
ដង្កៀបក្តាម	ដ・ង・្・ក・ៀ・ប・ក・្・ត・ា・ម
សេចក្តីទុកចិត្ត	ស・េ・ច・ក・្・ត・ី・ទ・ុ・ក・ច・ិ・ត・្・ត
សេចក្តីកក់ក្តៅ	ស・េ・ច・ក・្・ត・ី・ក・ក・់・ក・្・ត・ៅ
សេចក្តីកក់ក្តៅ	ស・េ・ច・ក・្・ត・ី・ក・ក・់・ក・្・ត・ៅ
សេក្តី	ស・េ・ក・្・ត・ី
ក្តីរុន	ក・្・ត・ី・រ・ុ・ន
ភ័ក្តិ	ភ・័・ក・្・ត・ិ
កាត់សេចក្តី	ក・ា・ត・់・ស・េ・ច・ក・្・ត・ី
