កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
ប្រតិបដិវត្តន៍	ប្រតិបដិវត្តន៍	ប・្・រ・ត・ិ・ប・ដ・ិ・វ・ត・្・ត・ន・៍
ប្រតិបត្តករ	ប្រតិបត្តករ	ប・្・រ・ត・ិ・ប・ត・្・ត・ក・រ
ប្រតិបត្តិ	ប្រតិបត្តិ	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
ប្រតិបត្តិករ	ប្រតិបត្តិករ	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・រ
ប្រតិបត្តិករផ្នែកលក់	ប្រតិបត្តិករ|ផ្នែក|លក់	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・រ・ផ・្・ន・ែ・ក・ល・ក・់
ប្រតិបត្តិនិយម	ប្រតិបត្តិ|និយម	ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ន・ិ・យ・ម
ប្រព្រឹត្ត	ប្រព្រឹត្ត	ប・្・រ・ព・្・រ・ឹ・ត・្・ត
ប្រព្រឹត្តការណ៍	ប្រព្រឹត្ត|ការណ៍	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ក・ា・រ・ណ・៍
ប្រព្រឹត្តមិនឱ្យល្អៀងអំពីព្រត	ប្រព្រឹត្ត|មិន|ឱ្យ|ល្អៀង|អំពី|ព្រត	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ម・ិ・ន・ឱ・្・យ・ល・្・អ・ៀ・ង・អ・ំ・ព・ី・ព・្・រ・ត
ប្រព្រឹត្តិ	ប្រព្រឹត្តិ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
ប្រព្រឹត្តិកម្ម	ប្រព្រឹត្តិ|កម្ម	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ក・ម・្・ម
ប្រព្រឹត្តិការ	ប្រព្រឹត្តិ|ការ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ
ប្រព្រឹត្តិការណ៍	ប្រព្រឹត្តិ|ការណ៍	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
ប្រព្រឹត្តិហេតុ	ប្រព្រឹត្តិ|ហេតុ	ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ・ហ・េ・ត・ុ
ប្រយោគវិបត្តិ	ប្រយោគ|វិបត្តិ	ប・្・រ・យ・ោ・គ・វ・ិ・ប・ត・្・ត・ិ
ប្រយោគសម្បត្តិ	ប្រយោគ|សម្បត្តិ	ប・្・រ・យ・ោ・គ・ស・ម・្・ប・ត・្・ត・ិ
ប្រវត្តិ	ប្រវត្តិ	ប・្・រ・វ・ត・្・ត・ិ
ប្រវត្តិរូប	ប្រវត្តិ|រូប	ប・្・រ・វ・ត・្・ត・ិ・រ・ូ・ប
ប្រវត្តិវិទ្យា	ប្រវត្តិ|វិទ្យា	ប・្・រ・វ・ត・្・ត・ិ・វ・ិ・ទ・្・យ・ា
ប្រវត្តិសាស្ត្រ	ប្រវត្តិ|សាស្ត្រ	ប・្・រ・វ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
ប្រវត្តិសាស្ត្រិន	ប្រវត្តិ|សាស្ត្រិន	ប・្・រ・វ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ・ិ・ន
ប្រវត្តិហេតុ	ប្រវត្តិ|ហេតុ	ប・្・រ・វ・ត・្・ត・ិ・ហ・េ・ត・ុ
ប្រសើរឧត្តម	ប្រសើរ|ឧត្តម	ប・្・រ・ស・ើ・រ・ឧ・ត・្・ត・ម
ប្រាក់លើកទឹកចិត្ត	ប្រាក់|លើក|ទឹក|ចិត្ត	ប・្・រ・ា・ក・់・ល・ើ・ក・ទ・ឹ・ក・ច・ិ・ត・្・ត
ប្រាក់សោធននិវត្ត	ប្រាក់|សោធន|និវត្ត	ប・្・រ・ា・ក・់・ស・ោ・ធ・ន・ន・ិ・វ・ត・្・ត
ប្រិយមិត្ត	ប្រិយ|មិត្ត	ប・្・រ・ិ・យ・ម・ិ・ត・្・ត
ប្រែចិត្ត	ប្រែ|ចិត្ត	ប・្・រ・ែ・ច・ិ・ត・្・ត
ប្លុងចិត្ត	ប្លុង|ចិត្ត	ប・្・ល・ុ・ង・ច・ិ・ត・្・ត
ផលចិត្ត	ផល|ចិត្ត	ផ・ល・ច・ិ・ត・្・ត
ផលស្រូវឧត្តម	ផល|ស្រូវ|ឧត្តម	ផ・ល・ស・្・រ・ូ・វ・ឧ・ត・្・ត・ម
ផ្ចង់ចិត្ត	ផ្ចង់|ចិត្ត	ផ・្・ច・ង・់・ច・ិ・ត・្・ត
ផ្ដេកចិត្ត	ផ្ដេក|ចិត្ត	ផ・្・ដ・េ・ក・ច・ិ・ត・្・ត
ផ្ដោតចិត្ត	ផ្ដោត|ចិត្ត	ផ・្・ដ・ោ・ត・ច・ិ・ត・្・ត
ផ្លូវខេត្ត	ផ្លូវ|ខេត្ត	ផ・្・ល・ូ・វ・ខ・េ・ត・្・ត
ពង្សប្រព្រឹត្ត	ពង្ស|ប្រព្រឹត្ត	ព・ង・្・ស・ប・្・រ・ព・្・រ・ឹ・ត・្・ត
ពង្សប្រព្រឹត្តិ	ពង្ស|ប្រព្រឹត្តិ	ព・ង・្・ស・ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
ពង្សប្រវត្តិ	ពង្ស|ប្រវត្តិ	ព・ង・្・ស・ប・្・រ・វ・ត・្・ត・ិ
ពង្សពូជឧត្តម	ពង្ស|ពូជ|ឧត្តម	ព・ង・្・ស・ព・ូ・ជ・ឧ・ត・្・ត・ម
ពត់ចិត្ត	ពត់|ចិត្ត	ព・ត・់・ច・ិ・ត・្・ត
ពិសាក្រៃណានឹងឃ្លាន អាក្រក់អម្បាលម៉ានក្រៃណានឹងគាប់ចិត្ត	ពិសា|ក្រៃ|ណា|នឹង|ឃ្លាន| |អាក្រក់|អម្បាល|ម៉ាន|ក្រៃ|ណា|នឹង|គាប់|ចិត្ត	ព・ិ・ស・ា・ក・្・រ・ៃ・ណ・ា・ន・ឹ・ង・ឃ・្・ល・ា・ន・ ・អ・ា・ក・្・រ・ក・់・អ・ម・្・ប・ា・ល・ម・៉・ា・ន・ក・្・រ・ៃ・ណ・ា・ន・ឹ・ង・គ・ា・ប・់・ច・ិ・ត・្・ត
ពីជបត្ត	ពី|ជបត្ត	ព・ី・ជ・ប・ត・្・ត
ពុទ្ធបញ្ញត្តិ	ពុទ្ធ|បញ្ញត្តិ	ព・ុ・ទ・្・ធ・ប・ញ・្・ញ・ត・្・ត・ិ
ពុទ្ធបវត្តិ	ពុទ្ធ|បវត្តិ	ព・ុ・ទ・្・ធ・ប・វ・ត・្・ត・ិ
ពុទ្ធបុត្ត	ពុទ្ធ|បុត្ត	ព・ុ・ទ・្・ធ・ប・ុ・ត・្・ត
ពុទ្ធប្បញ្ញត្តិ	ពុទ្ធ|ប្បញ្ញត្តិ	ព・ុ・ទ・្・ធ・ប・្・ប・ញ・្・ញ・ត・្・ត・ិ
ពុទ្ធប្បវត្តិ	ពុទ្ធ|ប្បវត្តិ	ព・ុ・ទ・្・ធ・ប・្・ប・វ・ត・្・ត・ិ
ពុទ្ធប្រវត្តិ	ពុទ្ធ|ប្រវត្តិ	ព・ុ・ទ・្・ធ・ប・្・រ・វ・ត・្・ត・ិ
ពុទ្ធសាសនប្បវត្តិ	ពុទ្ធ|សាសន|ប្បវត្តិ	ព・ុ・ទ・្・ធ・ស・ា・ស・ន・ប・្・ប・វ・ត・្・ត・ិ
ពុរចិត្ត	ពុរ|ចិត្ត	ព・ុ・រ・ច・ិ・ត・្・ត
ពូជពង្សឧត្តម	ពូជ|ពង្ស|ឧត្តម	ព・ូ・ជ・ព・ង・្・ស・ឧ・ត・្・ត・ម
ពេញចិត្ត	ពេញ|ចិត្ត	ព・េ・ញ・ច・ិ・ត・្・ត
ព្យត្តបុគ្គល	ព្យ|ត្ត|បុគ្គល	ព・្・យ・ត・្・ត・ប・ុ・គ・្・គ・ល
ព្យត្តភាព	ព្យ|ត្ត|ភាព	ព・្・យ・ត・្・ត・ភ・ា・ព
ព្យត្តវោហារ	ព្យ|ត្ត|វោហារ	ព・្・យ・ត・្・ត・វ・ោ・ហ・ា・រ
ព្រហ្មទត្ត	ព្រហ្ម|ទត្ត	ព・្・រ・ហ・្・ម・ទ・ត・្・ត
ព្រឹត្តិ	ព្រឹត្តិ	ព・្・រ・ឹ・ត・្・ត・ិ
ព្រឹត្តិការ	ព្រឹត្តិ|ការ	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ
ព្រឹត្តិការណ៍	ព្រឹត្តិ|ការណ៍	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ・ណ・៍
ព្រឹត្តិការិកា	ព្រឹត្តិ|ការិកា	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・រ・ិ・ក・ា
ព្រឹត្តិកាល	ព្រឹត្តិ|កាល	ព・្・រ・ឹ・ត・្・ត・ិ・ក・ា・ល
ព្រឹត្តិបត្រ	ព្រឹត្តិ|បត្រ	ព・្・រ・ឹ・ត・្・ត・ិ・ប・ត・្・រ
ព្រួយចិត្ត	ព្រួយ|ចិត្ត	ព・្・រ・ួ・យ・ច・ិ・ត・្・ត
ភត្ត	ភត្ត	ភ・ត・្・ត
ភត្តការ	ភត្ត|ការ	ភ・ត・្・ត・ក・ា・រ
ភត្តការិកា	ភត្ត|ការិកា	ភ・ត・្・ត・ក・ា・រ・ិ・ក・ា
ភត្តការិនី	ភត្ត|ការិនី	ភ・ត・្・ត・ក・ា・រ・ិ・ន・ី
ភត្តការី	ភត្ត|ការី	ភ・ត・្・ត・ក・ា・រ・ី
ភត្តកាល	ភត្ត|កាល	ភ・ត・្・ត・ក・ា・ល
ភត្តកិច្ច	ភត្ត|កិច្ច	ភ・ត・្・ត・ក・ិ・ច・្・ច
ភត្តតិរែក	ភត្ត|តិរែក	ភ・ត・្・ត・ត・ិ・រ・ែ・ក
ភត្តាគារ	ភត្តា|គារ	ភ・ត・្・ត・ា・គ・ា・រ
ភត្តានុមោទនា	ភត្តានុមោទនា	ភ・ត・្・ត・ា・ន・ុ・ម・ោ・ទ・ន・ា
ភត្តាភិហារ	ភត្តា|ភិហារ	ភ・ត・្・ត・ា・ភ・ិ・ហ・ា・រ
ភត្តាវសាន	ភត្តាវ|សាន	ភ・ត・្・ត・ា・វ・ស・ា・ន
ភត្តាហារ	ភត្តាហារ	ភ・ត・្・ត・ា・ហ・ា・រ
ភត្តុទ្ទេសកៈ	ភត្តុទ្ទេសកៈ	ភ・ត・្・ត・ុ・ទ・្・ទ・េ・ស・ក・ៈ
ភត្តុទ្ទេសក៍	ភត្តុទ្ទេសក៍	ភ・ត・្・ត・ុ・ទ・្・ទ・េ・ស・ក・៍
ភត្ត–	ភត្ត|–	ភ・ត・្・ត・–
ភាតុបុត្ត	ភាតុ|បុត្ត	ភ・ា・ត・ុ・ប・ុ・ត・្・ត
ភាសាបរិវត្តកៈ	ភាសា|បរិវត្តកៈ	ភ・ា・ស・ា・ប・រ・ិ・វ・ត・្・ត・ក・ៈ
ភាសាបរិវត្តន៍	ភាសា|បរិវត្តន៍	ភ・ា・ស・ា・ប・រ・ិ・វ・ត・្・ត・ន・៍
ភាសាបរិវត្តិកា	ភាសា|បរិវត្តិកា	ភ・ា・ស・ា・ប・រ・ិ・វ・ត・្・ត・ិ・ក・ា
ភិក្ខាចារវត្ត	ភិក្ខាចារ|វត្ត	ភ・ិ・ក・្・ខ・ា・ច・ា・រ・វ・ត・្・ត
ភិក្ខុសម្ដែងអាបត្តិ	ភិក្ខុ|សម្ដែង|អាបត្តិ	ភ・ិ・ក・្・ខ・ុ・ស・ម・្・ដ・ែ・ង・អ・ា・ប・ត・្・ត・ិ
ភុត្តសេស	ភុត្ត|សេស	ភ・ុ・ត・្・ត・ស・េ・ស
ភុត្តាវសេស	ភុត្តាវ|សេស	ភ・ុ・ត・្・ត・ា・វ・ស・េ・ស
មគ្គចិត្ត	មគ្គ|ចិត្ត	ម・គ・្・គ・ច・ិ・ត・្・ត
មច្ឆេរចិត្ត	មច្ឆេរ|ចិត្ត	ម・ច・្・ឆ・េ・រ・ច・ិ・ត・្・ត
មជ្ឈត្តកម្ម	មជ្ឈត្ត|កម្ម	ម・ជ・្・ឈ・ត・្・ត・ក・ម・្・ម
មជ្ឈត្តករ	មជ្ឈត្តករ	ម・ជ・្・ឈ・ត・្・ត・ក・រ
មជ្ឈត្តការ	មជ្ឈត្ត|ការ	ម・ជ・្・ឈ・ត・្・ត・ក・ា・រ
មជ្ឈត្តនិយម	មជ្ឈត្ត|និយម	ម・ជ・្・ឈ・ត・្・ត・ន・ិ・យ・ម
មជ្ឈត្តភាព	មជ្ឈត្ត|ភាព	ម・ជ・្・ឈ・ត・្・ត・ភ・ា・ព
មជ្ឈត្តវិនិច្ឆ័យ	មជ្ឈត្ត|វិនិច្ឆ័យ	ម・ជ・្・ឈ・ត・្・ត・វ・ិ・ន・ិ・ច・្・ឆ・័・យ
មជ្ឈត្តារម្មណ៍	មជ្ឈត្តារម្មណ៍	ម・ជ・្・ឈ・ត・្・ត・ា・រ・ម・្・ម・ណ・៍
មជ្ឈត្តិកៈ	មជ្ឈត្តិកៈ	ម・ជ・្・ឈ・ត・្・ត・ិ・ក・ៈ
មតកភត្ត	មតក|ភត្ត	ម・ត・ក・ភ・ត・្・ត
មត្តញ្ញុតា	មត្តញ្ញុតា	ម・ត・្・ត・ញ・្・ញ・ុ・ត・ា
មត្តញ្ញូ	មត្តញ្ញូ	ម・ត・្・ត・ញ・្・ញ・ូ
មត្តិកា	មត្តិកា	ម・ត・្・ត・ិ・ក・ា
មត្តិកាភណ្ឌ	មត្តិកា|ភណ្ឌ	ម・ត・្・ត・ិ・ក・ា・ភ・ណ・្・ឌ
មត្តិកាភាជន៍	មត្តិកាភាជន៍	ម・ត・្・ត・ិ・ក・ា・ភ・ា・ជ・ន・៍
មត្តេយ្យកា	មត្តេយ្យ|កា	ម・ត・្・ត・េ・យ・្・យ・ក・ា
មត្តេយ្យកៈ	មត្តេយ្យកៈ	ម・ត・្・ត・េ・យ・្・យ・ក・ៈ
មត្តេយ្យដ្ឋាន	មត្តេយ្យ|ដ្ឋាន	ម・ត・្・ត・េ・យ・្・យ・ដ・្・ឋ・ា・ន
មត្តេយ្យសិក្សា	មត្តេយ្យ|សិក្សា	ម・ត・្・ត・េ・យ・្・យ・ស・ិ・ក・្・ស・ា
មនុស្សមានវត្តល្អ	មនុស្ស|មាន|វត្ត|ល្អ	ម・ន・ុ・ស・្・ស・ម・ា・ន・វ・ត・្・ត・ល・្・អ
មនុស្សឧត្តរិ	មនុស្ស|ឧត្តរិ	ម・ន・ុ・ស・្・ស・ឧ・ត・្・ត・រ・ិ
មន្ត្រីកិត្តិយស	មន្ត្រី|កិត្តិ|យស	ម・ន・្・ត・្・រ・ី・ក・ិ・ត・្・ត・ិ・យ・ស
មហត្តរស	មហត្តរស	ម・ហ・ត・្・ត・រ・ស
មហាខត្តិយវង្ស	មហា|ខត្តិយ|វង្ស	ម・ហ・ា・ខ・ត・្・ត・ិ・យ・វ・ង・្・ស
មហាចក្រពត្តិ	មហា|ចក្រពត្តិ	ម・ហ・ា・ច・ក・្・រ・ព・ត・្・ត・ិ
មហាមិត្ត	មហា|មិត្ត	ម・ហ・ា・ម・ិ・ត・្・ត
មហាសត្ត	មហា|សត្ត	ម・ហ・ា・ស・ត・្・ត
មហាសារីបុត្ត	មហា|សារីបុត្ត	ម・ហ・ា・ស・ា・រ・ី・ប・ុ・ត・្・ត
មហេសក្ខទេវបុត្ត	មហេស|ក្ខ|ទេវ|បុត្ត	ម・ហ・េ・ស・ក・្・ខ・ទ・េ・វ・ប・ុ・ត・្・ត
មាតុភូមិនិវត្តន៍	មាតុ|ភូមិ|និវត្តន៍	ម・ា・ត・ុ・ភ・ូ・ម・ិ・ន・ិ・វ・ត・្・ត・ន・៍
មានចិត្ត	មាន|ចិត្ត	ម・ា・ន・ច・ិ・ត・្・ត
មានចិត្តមានថ្លើម	មាន|ចិត្ត|មាន|ថ្លើម	ម・ា・ន・ច・ិ・ត・្・ត・ម・ា・ន・ថ・្・ល・ើ・ម
មានសម្បត្តិ	មាន|សម្បត្តិ	ម・ា・ន・ស・ម・្・ប・ត・្・ត・ិ
មាសានុប្បវត្តិ	មាសានុប្បវត្តិ	ម・ា・ស・ា・ន・ុ・ប・្・ប・វ・ត・្・ត・ិ
មាសានុប្រព្រឹត្តិ	មាសានុប្រព្រឹត្តិ	ម・ា・ស・ា・ន・ុ・ប・្・រ・ព・្・រ・ឹ・ត・្・ត・ិ
មិត្ត	មិត្ត	ម・ិ・ត・្・ត
មិត្តទ្រុស្ត	មិត្ត|ទ្រុស្ត	ម・ិ・ត・្・ត・ទ・្・រ・ុ・ស・្・ត
មិត្តទ្រុះ	មិត្ត|ទ្រុះ	ម・ិ・ត・្・ត・ទ・្・រ・ុ・ះ
មិត្តប្រចុប	មិត្ត|ប្រចុប	ម・ិ・ត・្・ត・ប・្・រ・ច・ុ・ប
មិត្តភាណិនី	មិត្ត|ភាណិនី	ម・ិ・ត・្・ត・ភ・ា・ណ・ិ・ន・ី
មិត្តភាព	មិត្ត|ភាព	ម・ិ・ត・្・ត・ភ・ា・ព
មិត្តភេទ	មិត្ត|ភេទ	ម・ិ・ត・្・ត・ភ・េ・ទ
មិត្តភ្ងា	មិត្ត|ភ្ងា	ម・ិ・ត・្・ត・ភ・្・ង・ា
មិត្តលាភ	មិត្ត|លាភ	ម・ិ・ត・្・ត・ល・ា・ភ
មិត្តវិន្ទ	មិត្ត|វិន្ទ	ម・ិ・ត・្・ត・វ・ិ・ន・្・ទ
មិត្តសន្ថវភាព	មិត្ត|សន្ថវ|ភាព	ម・ិ・ត・្・ត・ស・ន・្・ថ・វ・ភ・ា・ព
មិត្តូបត្ថម្ភ	មិត្តូបត្ថម្ភ	ម・ិ・ត・្・ត・ូ・ប・ត・្・ថ・ម・្・ភ
មិត្តោបត្ថម្ភ	មិត្តោបត្ថម្ភ	ម・ិ・ត・្・ត・ោ・ប・ត・្・ថ・ម・្・ភ
មិនស្កាំចិត្ត	មិន|ស្កាំ|ចិត្ត	ម・ិ・ន・ស・្・ក・ា・ំ・ច・ិ・ត・្・ត
មិនស្កៀបចិត្ត	មិន|ស្កៀប|ចិត្ត	ម・ិ・ន・ស・្・ក・ៀ・ប・ច・ិ・ត・្・ត
មុត្តា	មុត្តា	ម・ុ・ត・្・ត・ា
មុត្តាយតនៈ	មុត្តាយ|តនៈ	ម・ុ・ត・្・ត・ា・យ・ត・ន・ៈ
មុត្តាស័យ	មុត្តាស័យ	ម・ុ・ត・្・ត・ា・ស・័・យ
មុត្តាហារ	មុត្តាហារ	ម・ុ・ត・្・ត・ា・ហ・ា・រ
មុទិតាចិត្ត	មុទិតា|ចិត្ត	ម・ុ・ទ・ិ・ត・ា・ច・ិ・ត・្・ត
មុទុចិត្ត	មុទុចិត្ត	ម・ុ・ទ・ុ・ច・ិ・ត・្・ត
មុទ្ធាភិសិត្ត	មុទ្ធាភិសិត្ត	ម・ុ・ទ・្・ធ・ា・ភ・ិ・ស・ិ・ត・្・ត
មុទ្ធាភិសិត្តរាជ	មុទ្ធាភិសិត្ត|រាជ	ម・ុ・ទ・្・ធ・ា・ភ・ិ・ស・ិ・ត・្・ត・រ・ា・ជ
មុហុត្តវិជាតវាទី	មុហុត្ត|វិជាត|វាទី	ម・ុ・ហ・ុ・ត・្・ត・វ・ិ・ជ・ា・ត・វ・ា・ទ・ី
មូគវត្ត	មូគ|វត្ត	ម・ូ・គ・វ・ត・្・ត
មូលចិត្ត	មូល|ចិត្ត	ម・ូ・ល・ច・ិ・ត・្・ត
មេត្តា	មេត្តា	ម・េ・ត・្・ត・ា
មេត្តាកាយកម្ម	មេត្តា|កាយ|កម្ម	ម・េ・ត・្・ត・ា・ក・ា・យ・ក・ម・្・ម
មេត្តាចិត្ត	មេត្តា|ចិត្ត	ម・េ・ត・្・ត・ា・ច・ិ・ត・្・ត
មេត្តាចិត្ត	មេត្តា|ចិត្ត	ម・េ・ត・្・ត・ា・ច・ិ・ត・្・ត
មេត្តាធម៌	មេត្តា|ធម៌	ម・េ・ត・្・ត・ា・ធ・ម・៌
មេត្តាបារមី	មេត្តា|បារមី	ម・េ・ត・្・ត・ា・ប・ា・រ・ម・ី
មេត្តាប្រោស	មេត្តា|ប្រោស	ម・េ・ត・្・ត・ា・ប・្・រ・ោ・ស
មេត្តាភាវនា	មេត្តា|ភាវនា	ម・េ・ត・្・ត・ា・ភ・ា・វ・ន・ា
មេត្តាមនោកម្ម	មេត្តាម|នោកម្ម	ម・េ・ត・្・ត・ា・ម・ន・ោ・ក・ម・្・ម
មេត្តាវចីកម្ម	មេត្តាវ|ចី|កម្ម	ម・េ・ត・្・ត・ា・វ・ច・ី・ក・ម・្・ម
មេត្តាវចីកម្ម,	មេត្តាវ|ចី|កម្ម|,	ម・េ・ត・្・ត・ា・វ・ច・ី・ក・ម・្・ម・,
មេត្តាវិហារិនី	មេត្តា|វិហារិនី	ម・េ・ត・្・ត・ា・វ・ិ・ហ・ា・រ・ិ・ន・ី
មេត្តាវិហារី	មេត្តា|វិហារី	ម・េ・ត・្・ត・ា・វ・ិ・ហ・ា・រ・ី
មេត្រីចិត្ត	មេត្រី|ចិត្ត	ម・េ・ត・្・រ・ី・ច・ិ・ត・្・ត
មេវត្ត	មេ|វត្ត	ម・េ・វ・ត・្・ត
មោហចិត្ត	មោហ|ចិត្ត	ម・ោ・ហ・ច・ិ・ត・្・ត
ម៉ាស៊ីនប្រតិបត្តិការធនាគារស្វ័យប្រវត្ត	ម៉ាស៊ីន|ប្រតិបត្តិការ|ធនាគារ|ស្វ័យ|ប្រវត្ត	ម・៉・ា・ស・៊・ី・ន・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・ា・រ・ធ・ន・ា・គ・ា・រ・ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត
ម៉ាស៊ីនប្រតិបត្តិការធនាគារស្វ័យប្រវត្ត	ម៉ាស៊ីន|ប្រតិបត្តិការ|ធនាគារ|ស្វ័យ|ប្រវត្ត	ម・៉・ា・ស・៊・ី・ន・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ・ក・ា・រ・ធ・ន・ា・គ・ា・រ・ស・្・វ・័・យ・ប・្・រ・វ・ត・្・ត
យកចិត្ត	យក|ចិត្ត	យ・ក・ច・ិ・ត・្・ត
យកចិត្តទុកដាក់	យក|ចិត្ត|ទុក|ដាក់	យ・ក・ច・ិ・ត・្・ត・ទ・ុ・ក・ដ・ា・ក・់
យកចិត្តយកថ្លើម	យក|ចិត្ត|យក|ថ្លើម	យ・ក・ច・ិ・ត・្・ត・យ・ក・ថ・្・ល・ើ・ម
យកវត្តគ្រូ	យក|វត្ត|គ្រូ	យ・ក・វ・ត・្・ត・គ・្・រ・ូ
យកអរុណក្នុងវត្ត	យក|អរុណ|ក្នុង|វត្ត	យ・ក・អ・រ・ុ・ណ・ក・្・ន・ុ・ង・វ・ត・្・ត
យក្ខុម្មត្តកៈ	យក្ខុ|ម្មត្តកៈ	យ・ក・្・ខ・ុ・ម・្・ម・ត・្・ត・ក・ៈ
យមកបុត្ត	យមក|បុត្ត	យ・ម・ក・ប・ុ・ត・្・ត
យល់ចិត្ត	យល់|ចិត្ត	យ・ល・់・ច・ិ・ត・្・ត
យាបនមត្ត	យាបន|មត្ត	យ・ា・ប・ន・ម・ត・្・ត
យុត្តកម្ម	យុត្ត|កម្ម	យ・ុ・ត・្・ត・ក・ម・្・ម
យុត្តការណ៍	យុត្ត|ការណ៍	យ・ុ・ត・្・ត・ក・ា・រ・ណ・៍
យុត្តកិច្ច	យុត្ត|កិច្ច	យ・ុ・ត・្・ត・ក・ិ・ច・្・ច
យុត្តក្រឹត្យ	យុត្ត|ក្រឹត្យ	យ・ុ・ត・្・ត・ក・្・រ・ឹ・ត・្・យ
យុត្តចិន្តា	យុត្ត|ចិន្តា	យ・ុ・ត・្・ត・ច・ិ・ន・្・ត・ា
យុត្តមតិ	យុត្តម|តិ	យ・ុ・ត・្・ត・ម・ត・ិ
យុត្តវាចា	យុត្ត|វាចា	យ・ុ・ត・្・ត・វ・ា・ច・ា
យុត្តវាទ	យុត្ត|វាទ	យ・ុ・ត・្・ត・វ・ា・ទ
យុត្តវាទិនី	យុត្ត|វា|ទិនី	យ・ុ・ត・្・ត・វ・ា・ទ・ិ・ន・ី
យុត្តវាទី	យុត្ត|វាទី	យ・ុ・ត・្・ត・វ・ា・ទ・ី
យុត្តសង្គ្រាម	យុត្ត|សង្គ្រាម	យ・ុ・ត・្・ត・ស・ង・្・គ・្・រ・ា・ម
យុត្តាធិការ	យុត្តាធិការ	យ・ុ・ត・្・ត・ា・ធ・ិ・ក・ា・រ
យុត្តាប៊ីត	យុត្តា|ប៊ីត	យ・ុ・ត・្・ត・ា・ប・៊・ី・ត
យុត្តិកម្ម	យុត្តិ|កម្ម	យ・ុ・ត・្・ត・ិ・ក・ម・្・ម
យុត្តិការ	យុត្តិការ	យ・ុ・ត・្・ត・ិ・ក・ា・រ
យុត្តិធម៌	យុត្តិធម៌	យ・ុ・ត・្・ត・ិ・ធ・ម・៌
យុត្តិនិសេធ	យុត្តិ|និសេធ	យ・ុ・ត・្・ត・ិ・ន・ិ・ស・េ・ធ
យុត្តិសាស្ត្រ	យុត្តិ|សាស្ត្រ	យ・ុ・ត・្・ត・ិ・ស・ា・ស・្・ត・្・រ
យុត្តៈ	យុត្តៈ	យ・ុ・ត・្・ត・ៈ
យ៉ុងចិត្ត	យ៉ុង|ចិត្ត	យ・៉・ុ・ង・ច・ិ・ត・្・ត
រកាំចិត្ត	រកាំ|ចិត្ត	រ・ក・ា・ំ・ច・ិ・ត・្・ត
រង្គាលចិត្ត	រង្គាល|ចិត្ត	រ・ង・្・គ・ា・ល・ច・ិ・ត・្・ត
រណក្ខេត្ត	រណក្ខេត្ត	រ・ណ・ក・្・ខ・េ・ត・្・ត
រណមិត្ត	រណ|មិត្ត	រ・ណ・ម・ិ・ត・្・ត
រតនសម្បត្តិ	រតន|សម្បត្តិ	រ・ត・ន・ស・ម・្・ប・ត・្・ត・ិ
រត្ត	រត្ត	រ・ត・្・ត
រត្តកម្ពល	រត្ត|កម្ពល	រ・ត・្・ត・ក・ម・្・ព・ល
រត្តគាវី	រត្ត|គាវី	រ・ត・្・ត・គ・ា・វ・ី
រត្តចន្ទន៍	រត្ត|ចន្ទន៍	រ・ត・្・ត・ច・ន・្・ទ・ន・៍
រត្តញ្ញូ	រត្តញ្ញូ	រ・ត・្・ត・ញ・្・ញ・ូ
រត្តបឋវី	រត្ត|បឋវី	រ・ត・្・ត・ប・ឋ・វ・ី
រត្តរឿងរង្សី	រត្ត|រឿង|រង្សី	រ・ត・្・ត・រ・ឿ・ង・រ・ង・្・ស・ី
រត្តសុវណ្ណ	រត្ត|សុវណ្ណ	រ・ត・្・ត・ស・ុ・វ・ណ・្・ណ
រត្តិកាល	រត្តិ|កាល	រ・ត・្・ត・ិ・ក・ា・ល
រត្តិចរ	រត្តិចរ	រ・ត・្・ត・ិ・ច・រ
រត្តិច្ឆេទ	រត្តិ|ច្ឆេទ	រ・ត・្・ត・ិ・ច・្・ឆ・េ・ទ
រត្តិន្ទិព	រត្តិ|ន្ទិព	រ・ត・្・ត・ិ・ន・្・ទ・ិ・ព
រត្តិភាគ	រត្តិ|ភាគ	រ・ត・្・ត・ិ・ភ・ា・គ
