កករចិត្ត	កករ|ចិត្ត	ក・ក・រ・ច・ិ・ត・្・ត
គតិបណ្ឌិតប្រតិបត្តិ	គតិ|បណ្ឌិត|ប្រតិបត្តិ	គ・ត・ិ・ប・ណ・្・ឌ・ិ・ត・ប・្・រ・ត・ិ・ប・ត・្・ត・ិ
គតិយុត្ត	គតិយុត្ត	គ・ត・ិ・យ・ុ・ត・្・ត
គតិយុត្តិ	គតិយុត្តិ	គ・ត・ិ・យ・ុ・ត・្・ត・ិ
គាប់ចិត្ត	គាប់|ចិត្ត	គ・ា・ប・់・ច・ិ・ត・្・ត
គិលានភត្ត	គិលាន|ភត្ត	គ・ិ・ល・ា・ន・ភ・ត・្・ត
គុណវិបត្តិ	គុណ|វិបត្តិ	គ・ុ・ណ・វ・ិ・ប・ត・្・ត・ិ
គុណសម្បត្តិ	គុណ|សម្បត្តិ	គ・ុ・ណ・ស・ម・្・ប・ត・្・ត・ិ
គោតមគោត្ត	គោតម|គោត្ត	គ・ោ・ត・ម・គ・ោ・ត・្・ត
គោត្ត	គោត្ត	គ・ោ・ត・្・ត
គោត្តនាម	គោត្ត|នាម	គ・ោ・ត・្・ត・ន・ា・ម
គោវត្ត	គោ|វត្ត	គ・ោ・វ・ត・្・ត
ឃោសាឃោសវិមុត្ត	ឃោសា|ឃោស|វិមុត្ត	ឃ・ោ・ស・ា・ឃ・ោ・ស・វ・ិ・ម・ុ・ត・្・ត
ងាកចិត្ត	ងាក|ចិត្ត	ង・ា・ក・ច・ិ・ត・្・ត
ចក្ខុនិមិត្ត	ចក្ខុ|និមិត្ត	ច・ក・្・ខ・ុ・ន・ិ・ម・ិ・ត・្・ត
ចក្រពត្តិ	ចក្រពត្តិ	ច・ក・្・រ・ព・ត・្・ត・ិ
ចក្រពត្តិនិយម	ចក្រពត្តិ|និយម	ច・ក・្・រ・ព・ត・្・ត・ិ・ន・ិ・យ・ម
ចងចិត្ត	ចង|ចិត្ត	ច・ង・ច・ិ・ត・្・ត
ចត្តាឡីស័ក	ចត្តាឡី|ស័ក	ច・ត・្・ត・ា・ឡ・ី・ស・័・ក
ចាប់ចិត្ត	ចាប់|ចិត្ត	ច・ា・ប・់・ច・ិ・ត・្・ត
ចាលចិត្ត	ចាល|ចិត្ត	ច・ា・ល・ច・ិ・ត・្・ត
ចាល់ចិត្ត	ចាល់|ចិត្ត	ច・ា・ល・់・ច・ិ・ត・្・ត
ចាស់ចិត្តចាស់គំនិត	ចាស់|ចិត្ត|ចាស់|គំនិត	ច・ា・ស・់・ច・ិ・ត・្・ត・ច・ា・ស・់・គ・ំ・ន・ិ・ត
ចិត្ត	ចិត្ត	ច・ិ・ត・្・ត
ចិត្តកម្ម	ចិត្ត|កម្ម	ច・ិ・ត・្・ត・ក・ម・្・ម
ចិត្តការ	ចិត្ត|ការ	ច・ិ・ត・្・ត・ក・ា・រ
ចិត្តការិកា	ចិត្ត|ការិកា	ច・ិ・ត・្・ត・ក・ា・រ・ិ・ក・ា
ចិត្តខ្មៅ	ចិត្ត|ខ្មៅ	ច・ិ・ត・្・ត・ខ・្・ម・ៅ
ចិត្តខ្លាំង	ចិត្ត|ខ្លាំង	ច・ិ・ត・្・ត・ខ・្・ល・ា・ំ・ង
ចិត្តគំនិត	ចិត្ត|គំនិត	ច・ិ・ត・្・ត・គ・ំ・ន・ិ・ត
ចិត្តចង្អៀត	ចិត្ត|ចង្អៀត	ច・ិ・ត・្・ត・ច・ង・្・អ・ៀ・ត
ចិត្តចោរ	ចិត្ត|ចោរ	ច・ិ・ត・្・ត・ច・ោ・រ
ចិត្តច្រើន	ចិត្ត|ច្រើន	ច・ិ・ត・្・ត・ច・្・រ・ើ・ន
ចិត្តជា	ចិត្ត|ជា	ច・ិ・ត・្・ត・ជ・ា
ចិត្តជាទេវទត្តមាត់ជាទេវតា	ចិត្ត|ជា|ទេវទត្ត|មាត់|ជា|ទេវតា	ច・ិ・ត・្・ត・ជ・ា・ទ・េ・វ・ទ・ត・្・ត・ម・ា・ត・់・ជ・ា・ទ・េ・វ・ត・ា
ចិត្តជាទេវទត្តមាត់ជាទេវតា	ចិត្ត|ជា|ទេវទត្ត|មាត់|ជា|ទេវតា	ច・ិ・ត・្・ត・ជ・ា・ទ・េ・វ・ទ・ត・្・ត・ម・ា・ត・់・ជ・ា・ទ・េ・វ・ត・ា
ចិត្តដាច់	ចិត្ត|ដាច់	ច・ិ・ត・្・ត・ដ・ា・ច・់
ចិត្តទស្សនវិជ្ជា	ចិត្ត|ទស្សន|វិជ្ជា	ច・ិ・ត・្・ត・ទ・ស・្・ស・ន・វ・ិ・ជ・្・ជ・ា
